emoji,count,tokens,mult
face with tears of joy,332059305,facexwithxtearsxofxjoy,multfacexwithxtearsxofxjoy
heavy black heart,171566133,heavyxblackxheart,multheavyxblackxheart
face throwing a kiss,122353058,facexthrowingxaxkiss,multfacexthrowingxaxkiss
smiling face with heart shaped eyes,87122195,smilingxfacexwithxheartxshapedxeyes,multsmilingxfacexwithxheartxshapedxeyes
rolling on the floor laughing,52003805,rollingxonxthexfloorxlaughing,multrollingxonxthexfloorxlaughing
loudly crying face,36265893,loudlyxcryingxface,multloudlyxcryingxface
thumbs up sign,33782921,thumbsxupxsign,multthumbsxupxsign
smiling face with smiling eyes,31525885,smilingxfacexwithxsmilingxeyes,multsmilingxfacexwithxsmilingxeyes
kiss mark,31244729,kissxmark,multkissxmark
beaming face with smiling eyes,26749778,beamingxfacexwithxsmilingxeyes,multbeamingxfacexwithxsmilingxeyes
white smiling face,22909409,whitexsmilingxface,multwhitexsmilingxface
winking face,21675216,winkingxface,multwinkingxface
see no evil monkey,21200277,seexnoxevilxmonkey,multseexnoxevilxmonkey
smiling face with open mouth and cold sweat,19308775,smilingxfacexwithxopenxmouthxandxcoldxsweat,multsmilingxfacexwithxopenxmouthxandxcoldxsweat
pensive face,18260428,pensivexface,multpensivexface
face with rolling eyes,17770958,facexwithxrollingxeyes,multfacexwithxrollingxeyes
person with folded hands,17209254,personxwithxfoldedxhands,multpersonxwithxfoldedxhands
face with stuck out tongue and winking eye,16889612,facexwithxstuckxoutxtonguexandxwinkingxeye,multfacexwithxstuckxoutxtonguexandxwinkingxeye
smirking face,15507229,smirkingxface,multsmirkingxface
weary face,14508228,wearyxface,multwearyxface
clapping hands sign,14355540,clappingxhandsxsign,multclappingxhandsxsign
flushed face,14276599,flushedxface,multflushedxface
two hearts,12871802,twoxhearts,multtwoxhearts
ok hand sign,11397296,okxhandxsign,multokxhandxsign
blue heart,9976427,bluexheart,multbluexheart
sparkling heart,9858098,sparklingxheart,multsparklingxheart
hugging face,9279724,huggingxface,multhuggingxface
thinking face,8982326,thinkingxface,multthinkingxface
ring,8525827,ring,multring
smiling face with smiling eyes and three hearts,8401118,smilingxfacexwithxsmilingxeyesxandxthreexhearts,multsmilingxfacexwithxsmilingxeyesxandxthreexhearts
purple heart,8204882,purplexheart,multpurplexheart
face savouring delicious food,8105994,facexsavouringxdeliciousxfood,multfacexsavouringxdeliciousxfood
unamused face,7948892,unamusedxface,multunamusedxface
relieved face,7563556,relievedxface,multrelievedxface
grinning face with smiling eyes,7398448,grinningxfacexwithxsmilingxeyes,multgrinningxfacexwithxsmilingxeyes
smiling face with open mouth and tightly closed eyes,7232809,smilingxfacexwithxopenxmouthxandxtightlyxclosedxeyes,multsmilingxfacexwithxopenxmouthxandxtightlyxclosedxeyes
pouting face,7012482,poutingxface,multpoutingxface
face screaming in fear,6972278,facexscreamingxinxfear,multfacexscreamingxinxfear
face palm,6955800,facexpalm,multfacexpalm
growing heart,6901741,growingxheart,multgrowingxheart
smiling face with smiling eyes and hand covering mouth,6579894,smilingxfacexwithxsmilingxeyesxandxhandxcoveringxmouth,multsmilingxfacexwithxsmilingxeyesxandxhandxcoveringxmouth
party popper,6524445,partyxpopper,multpartyxpopper
heart with arrow,6385904,heartxwithxarrow,multheartxwithxarrow
fire,6310250,fire,multfire
smiling face with sunglasses,6072716,smilingxfacexwithxsunglasses,multsmilingxfacexwithxsunglasses
revolving hearts,5959469,revolvingxhearts,multrevolvingxhearts
kissing face with closed eyes,5531113,kissingxfacexwithxclosedxeyes,multkissingxfacexwithxclosedxeyes
grinning face with one large and one small eye,5475173,grinningxfacexwithxonexlargexandxonexsmallxeye,multgrinningxfacexwithxonexlargexandxonexsmallxeye
crying face,5358714,cryingxface,multcryingxface
face with stuck out tongue and tightly closed eyes,5318862,facexwithxstuckxoutxtonguexandxtightlyxclosedxeyes,multfacexwithxstuckxoutxtonguexandxtightlyxclosedxeyes
broken heart,5141302,brokenxheart,multbrokenxheart
person raising both hands in celebration,5092739,personxraisingxbothxhandsxinxcelebration,multpersonxraisingxbothxhandsxinxcelebration
shrug,5077082,shrug,multshrug
flexed biceps,5019772,flexedxbiceps,multflexedxbiceps
yellow heart,4989194,yellowxheart,multyellowxheart
upside down face,4843581,upsidexdownxface,multupsidexdownxface
smiling face with open mouth,4722513,smilingxfacexwithxopenxmouth,multsmilingxfacexwithxopenxmouth
black heart suit,4706812,blackxheartxsuit,multblackxheartxsuit
smiling face with halo,4667543,smilingxfacexwithxhalo,multsmilingxfacexwithxhalo
reversed hand with middle finger extended,4619816,reversedxhandxwithxmiddlexfingerxextended,multreversedxhandxwithxmiddlexfingerxextended
rose,4448090,rose,multrose
slightly smiling face,4144886,slightlyxsmilingxface,multslightlyxsmilingxface
sleeping face,3886737,sleepingxface,multsleepingxface
heavy heart exclamation mark ornament,3865390,heavyxheartxexclamationxmarkxornament,multheavyxheartxexclamationxmarkxornament
drooling face,3834642,droolingxface,multdroolingxface
green heart,3825413,greenxheart,multgreenxheart
grimacing face,3812782,grimacingxface,multgrimacingxface
black heart,3685672,blackxheart,multblackxheart
eyes,3679584,eyes,multeyes
speak no evil monkey,3528146,speakxnoxevilxmonkey,multspeakxnoxevilxmonkey
grinning face,3436412,grinningxface,multgrinningxface
white frowning face,3363535,whitexfrowningxface,multwhitexfrowningxface
disappointed face,3357247,disappointedxface,multdisappointedxface
victory hand,3242651,victoryxhand,multvictoryxhand
tired face,3207009,tiredxface,multtiredxface
smiling face with horns,3144243,smilingxfacexwithxhorns,multsmilingxfacexwithxhorns
grinning face with star eyes,3119110,grinningxfacexwithxstarxeyes,multgrinningxfacexwithxstarxeyes
birthday cake,3034278,birthdayxcake,multbirthdayxcake
face with pleading eyes,3010011,facexwithxpleadingxeyes,multfacexwithxpleadingxeyes
face with stuck out tongue,2968388,facexwithxstuckxoutxtongue,multfacexwithxstuckxoutxtongue
confused face,2906084,confusedxface,multconfusedxface
beating heart,2870532,beatingxheart,multbeatingxheart
expressionless face,2839513,expressionlessxface,multexpressionlessxface
splashing sweat symbol,2739501,splashingxsweatxsymbol,multsplashingxsweatxsymbol
dancer,2708694,dancer,multdancer
smiling cat face with heart shaped eyes,2630326,smilingxcatxfacexwithxheartxshapedxeyes,multsmilingxcatxfacexwithxheartxshapedxeyes
nerd face,2479037,nerdxface,multnerdxface
tongue,2465845,tongue,multtongue
cat face with tears of joy,2436208,catxfacexwithxtearsxofxjoy,multcatxfacexwithxtearsxofxjoy
hundred points symbol,2308062,hundredxpointsxsymbol,multhundredxpointsxsymbol
fisted hand sign,2261417,fistedxhandxsign,multfistedxhandxsign
heart with ribbon,2208647,heartxwithxribbon,multheartxwithxribbon
kiss woman man,2189551,kissxwomanxman,multkissxwomanxman
waving hand sign,2137564,wavingxhandxsign,multwavingxhandxsign
balloon,2100959,balloon,multballoon
neutral face,2094953,neutralxface,multneutralxface
hand with index and middle fingers crossed,2057450,handxwithxindexxandxmiddlexfingersxcrossed,multhandxwithxindexxandxmiddlexfingersxcrossed
sparkles,2056876,sparkles,multsparkles
face with look of triumph,2022483,facexwithxlookxofxtriumph,multfacexwithxlookxofxtriumph
pile of poo,1968693,pilexofxpoo,multpilexofxpoo
skull,1959730,skull,multskull
sun,1926520,sun,multsun
slightly frowning face,1850124,slightlyxfrowningxface,multslightlyxfrowningxface
cherry blossom,1802167,cherryxblossom,multcherryxblossom
face with cold sweat,1775927,facexwithxcoldxsweat,multfacexwithxcoldxsweat
confetti ball,1756608,confettixball,multconfettixball
sleepy face,1743162,sleepyxface,multsleepyxface
wrapped present,1740356,wrappedxpresent,multwrappedxpresent
face with finger covering closed lips,1572087,facexwithxfingerxcoveringxclosedxlips,multfacexwithxfingerxcoveringxclosedxlips
happy person raising one hand,1528658,happyxpersonxraisingxonexhand,multhappyxpersonxraisingxonexhand
information desk person,1525872,informationxdeskxperson,multinformationxdeskxperson
couple with heart woman man,1520372,couplexwithxheartxwomanxman,multcouplexwithxheartxwomanxman
kissing face with smiling eyes,1511745,kissingxfacexwithxsmilingxeyes,multkissingxfacexwithxsmilingxeyes
face with open mouth and cold sweat,1488917,facexwithxopenxmouthxandxcoldxsweat,multfacexwithxopenxmouthxandxcoldxsweat
hibiscus,1449692,hibiscus,multhibiscus
bouquet,1448106,bouquet,multbouquet
confounded face,1356522,confoundedxface,multconfoundedxface
heart decoration,1340508,heartxdecoration,multheartxdecoration
bottle with popping cork,1321944,bottlexwithxpoppingxcork,multbottlexwithxpoppingxcork
call me hand,1280343,callxmexhand,multcallxmexhand
sign of the horns,1267160,signxofxthexhorns,multsignxofxthexhorns
face with party horn and party hat,1207712,facexwithxpartyxhornxandxpartyxhat,multfacexwithxpartyxhornxandxpartyxhat
shocked face with exploding head,1195879,shockedxfacexwithxexplodingxhead,multshockedxfacexwithxexplodingxhead
serious face with symbols covering mouth,1194017,seriousxfacexwithxsymbolsxcoveringxmouth,multseriousxfacexwithxsymbolsxcoveringxmouth
orange heart,1189327,orangexheart,multorangexheart
nauseated face,1188381,nauseatedxface,multnauseatedxface
money mouth face,1177697,moneyxmouthxface,multmoneyxmouthxface
multiple musical notes,1157675,multiplexmusicalxnotes,multmultiplexmusicalxnotes
new moon with face,1143613,newxmoonxwithxface,multnewxmoonxwithxface
disappointed but relieved face,1090408,disappointedxbutxrelievedxface,multdisappointedxbutxrelievedxface
persevering face,1054246,perseveringxface,multperseveringxface
thumbs down sign,1040946,thumbsxdownxsign,multthumbsxdownxsign
clinking beer mugs,1024965,clinkingxbeerxmugs,multclinkingxbeerxmugs
white up pointing backhand index,1021451,whitexupxpointingxbackhandxindex,multwhitexupxpointingxbackhandxindex
kissing face,1020673,kissingxface,multkissingxface
face with monocle,987637,facexwithxmonocle,multfacexwithxmonocle
face with open mouth vomiting,986949,facexwithxopenxmouthxvomiting,multfacexwithxopenxmouthxvomiting
face with medical mask,961214,facexwithxmedicalxmask,multfacexwithxmedicalxmask
dog face,955004,dogxface,multdogxface
unicorn face,951288,unicornxface,multunicornxface
four leaf clover,941764,fourxleafxclover,multfourxleafxclover
crown,922612,crown,multcrown
tulip,921492,tulip,multtulip
man and woman holding hands,905588,manxandxwomanxholdingxhands,multmanxandxwomanxholdingxhands
zipper mouth face,900186,zipperxmouthxface,multzipperxmouthxface
clinking glasses,898773,clinkingxglasses,multclinkingxglasses
aubergine,897240,aubergine,multaubergine
worried face,880120,worriedxface,multworriedxface
clown face,868358,clownxface,multclownxface
closed lock with key,860801,closedxlockxwithxkey,multclosedxlockxwithxkey
beer mug,826747,beerxmug,multbeerxmug
cross mark,822894,crossxmark,multcrossxmark
double exclamation mark,818041,doublexexclamationxmark,multdoublexexclamationxmark
wine glass,815875,winexglass,multwinexglass
collision symbol,813978,collisionxsymbol,multcollisionxsymbol
pistol,807338,pistol,multpistol
face without mouth,804489,facexwithoutxmouth,multfacexwithoutxmouth
white medium star,780610,whitexmediumxstar,multwhitexmediumxstar
runner,774963,runner,multrunner
overheated face,761703,overheatedxface,multoverheatedxface
peach,744869,peach,multpeach
pig face,717379,pigxface,multpigxface
ghost,716242,ghost,multghost
white up pointing index,711198,whitexupxpointingxindex,multwhitexupxpointingxindex
raised fist,688486,raisedxfist,multraisedxfist
face with open mouth,681304,facexwithxopenxmouth,multfacexwithxopenxmouth
rainbow,674878,rainbow,multrainbow
fearful face,673142,fearfulxface,multfearfulxface
gem stone,672256,gemxstone,multgemxstone
face with one eyebrow raised,666839,facexwithxonexeyebrowxraised,multfacexwithxonexeyebrowxraised
white right pointing backhand index,662286,whitexrightxpointingxbackhandxindex,multwhitexrightxpointingxbackhandxindex
dizzy face,658758,dizzyxface,multdizzyxface
heavy check mark,655021,heavyxcheckxmark,multheavyxcheckxmark
hot beverage,647961,hotxbeverage,multhotxbeverage
princess,637871,princess,multprincess
snowflake,635016,snowflake,multsnowflake
sunflower,629251,sunflower,multsunflower
mouth,628710,mouth,multmouth
christmas tree,625650,christmasxtree,multchristmasxtree
angry face,624716,angryxface,multangryxface
butterfly,623820,butterfly,multbutterfly
face with ok gesture,612756,facexwithxokxgesture,multfacexwithxokxgesture
raised hand,612319,raisedxhand,multraisedxhand
blossom,603949,blossom,multblossom
dizzy symbol,584907,dizzyxsymbol,multdizzyxsymbol
shortcake,577509,shortcake,multshortcake
sneezing face,574594,sneezingxface,multsneezingxface
face with no good gesture,574167,facexwithxnoxgoodxgesture,multfacexwithxnoxgoodxgesture
hear no evil monkey,573363,hearxnoxevilxmonkey,multhearxnoxevilxmonkey
keycap digit zero,573266,keycapxdigitxzero,multkeycapxdigitxzero
face with cowboy hat,563941,facexwithxcowboyxhat,multfacexwithxcowboyxhat
astonished face,557931,astonishedxface,multastonishedxface
woman with bunny ears,556864,womanxwithxbunnyxears,multwomanxwithxbunnyxears
paw prints,554883,pawxprints,multpawxprints
flag for united states,541358,flagxforxunitedxstates,multflagxforxunitedxstates
glowing star,536230,glowingxstar,multglowingxstar
love letter,519894,lovexletter,multlovexletter
sleeping symbol,517876,sleepingxsymbol,multsleepingxsymbol
eye,517661,eye,multeye
dash symbol,501487,dashxsymbol,multdashxsymbol
pedestrian,491791,pedestrian,multpedestrian
first place medal,488401,firstxplacexmedal,multfirstxplacexmedal
face with head bandage,488160,facexwithxheadxbandage,multfacexwithxheadxbandage
anguished face,486167,anguishedxface,multanguishedxface
freezing face,481752,freezingxface,multfreezingxface
white down pointing backhand index,479428,whitexdownxpointingxbackhandxindex,multwhitexdownxpointingxbackhandxindex
skull and crossbones,470386,skullxandxcrossbones,multskullxandxcrossbones
imp,469324,imp,multimp
high voltage sign,465484,highxvoltagexsign,multhighxvoltagexsign
keycap digit one,462705,keycapxdigitxone,multkeycapxdigitxone
baby,461448,baby,multbaby
bear face,456383,bearxface,multbearxface
face with thermometer,449421,facexwithxthermometer,multfacexwithxthermometer
money bag,448042,moneyxbag,multmoneyxbag
soccer ball,446622,soccerxball,multsoccerxball
kissing cat face with closed eyes,445938,kissingxcatxfacexwithxclosedxeyes,multkissingxcatxfacexwithxclosedxeyes
raised hand with fingers splayed,439189,raisedxhandxwithxfingersxsplayed,multraisedxhandxwithxfingersxsplayed
rabbit face,428112,rabbitxface,multrabbitxface
man dancing,426409,manxdancing,multmanxdancing
white heavy check mark,425152,whitexheavyxcheckxmark,multwhitexheavyxcheckxmark
earth globe europe africa,424454,earthxglobexeuropexafrica,multearthxglobexeuropexafrica
baby angel,417939,babyxangel,multbabyxangel
hushed face,414800,hushedxface,multhushedxface
i love you hand sign,410718,ixlovexyouxhandxsign,multixlovexyouxhandxsign
wilted flower,409276,wiltedxflower,multwiltedxflower
weary cat face,404057,wearyxcatxface,multwearyxcatxface
front facing baby chick,400515,frontxfacingxbabyxchick,multfrontxfacingxbabyxchick
top with upwards arrow above,398545,topxwithxupwardsxarrowxabove,multtopxwithxupwardsxarrowxabove
slice of pizza,398240,slicexofxpizza,multslicexofxpizza
nail polish,398186,nailxpolish,multnailxpolish
panda face,396174,pandaxface,multpandaxface
white left pointing backhand index,395939,whitexleftxpointingxbackhandxindex,multwhitexleftxpointingxbackhandxindex
person bowing deeply,387983,personxbowingxdeeply,multpersonxbowingxdeeply
two women holding hands,383666,twoxwomenxholdingxhands,multtwoxwomenxholdingxhands
strawberry,378221,strawberry,multstrawberry
palm tree,372383,palmxtree,multpalmxtree
banana,371647,banana,multbanana
airplane,362483,airplane,multairplane
tropical drink,360650,tropicalxdrink,multtropicalxdrink
handshake,358971,handshake,multhandshake
ribbon,358689,ribbon,multribbon
money with wings,357644,moneyxwithxwings,multmoneyxwithxwings
hocho,356332,hocho,multhocho
cocktail glass,355638,cocktailxglass,multcocktailxglass
face with uneven eyes and wavy mouth,354744,facexwithxunevenxeyesxandxwavyxmouth,multfacexwithxunevenxeyesxandxwavyxmouth
older adult,354105,olderxadult,multolderxadult
heavy exclamation mark symbol,350653,heavyxexclamationxmarkxsymbol,multheavyxexclamationxmarkxsymbol
raised hand with part between middle and ring fingers,346281,raisedxhandxwithxpartxbetweenxmiddlexandxringxfingers,multraisedxhandxwithxpartxbetweenxmiddlexandxringxfingers
couple with heart woman woman,335468,couplexwithxheartxwomanxwoman,multcouplexwithxheartxwomanxwoman
syringe,334580,syringe,multsyringe
sun with face,330252,sunxwithxface,multsunxwithxface
frowning face with open mouth,326043,frowningxfacexwithxopenxmouth,multfrowningxfacexwithxopenxmouth
cat face,321326,catxface,multcatxface
banknote with dollar sign,318213,banknotexwithxdollarxsign,multbanknotexwithxdollarxsign
trophy,318078,trophy,multtrophy
adult,317715,adult,multadult
pig nose,317430,pigxnose,multpigxnose
evergreen tree,317051,evergreenxtree,multevergreenxtree
lion face,314883,lionxface,multlionxface
crescent moon,314852,crescentxmoon,multcrescentxmoon
bomb,313167,bomb,multbomb
cherries,305548,cherries,multcherries
black question mark ornament,305269,blackxquestionxmarkxornament,multblackxquestionxmarkxornament
hatching chick,304035,hatchingxchick,multhatchingxchick
full moon with face,303719,fullxmoonxwithxface,multfullxmoonxwithxface
leaf fluttering in wind,302599,leafxflutteringxinxwind,multleafxflutteringxinxwind
monkey,297941,monkey,multmonkey
keycap digit two,297812,keycapxdigitxtwo,multkeycapxdigitxtwo
frog face,293167,frogxface,multfrogxface
lipstick,290755,lipstick,multlipstick
water wave,287728,waterxwave,multwaterxwave
japanese ogre,286029,japanesexogre,multjapanesexogre
shamrock,285568,shamrock,multshamrock
honeybee,284677,honeybee,multhoneybee
basketball and hoop,282551,basketballxandxhoop,multbasketballxandxhoop
crying cat face,279763,cryingxcatxface,multcryingxcatxface
father christmas,279114,fatherxchristmas,multfatherxchristmas
maple leaf,278046,maplexleaf,multmaplexleaf
thought balloon,275109,thoughtxballoon,multthoughtxballoon
lollipop,274084,lollipop,multlollipop
earth globe americas,273997,earthxglobexamericas,multearthxglobexamericas
child,273841,child,multchild
heavy large circle,272439,heavyxlargexcircle,multheavyxlargexcircle
musical note,270543,musicalxnote,multmusicalxnote
tumbler glass,269188,tumblerxglass,multtumblerxglass
bride with veil,268228,bridexwithxveil,multbridexwithxveil
herb,265386,herb,multherb
footprints,265335,footprints,multfootprints
taco,263300,taco,multtaco
extraterrestrial alien,260501,extraterrestrialxalien,multextraterrestrialxalien
kiss woman woman,257765,kissxwomanxwoman,multkissxwomanxwoman
palms up together,255660,palmsxupxtogether,multpalmsxupxtogether
keycap digit five,253664,keycapxdigitxfive,multkeycapxdigitxfive
speaking head in silhouette,252765,speakingxheadxinxsilhouette,multspeakingxheadxinxsilhouette
face massage,248340,facexmassage,multfacexmassage
bikini,247291,bikini,multbikini
hamburger,246822,hamburger,multhamburger
baby bottle,245305,babyxbottle,multbabyxbottle
snowman,241305,snowman,multsnowman
keycap digit three,239186,keycapxdigitxthree,multkeycapxdigitxthree
tiger face,237197,tigerxface,multtigerxface
cloud with rain,234314,cloudxwithxrain,multcloudxwithxrain
chocolate bar,234065,chocolatexbar,multchocolatexbar
microphone,232456,microphone,multmicrophone
snake,230980,snake,multsnake
watermelon,229640,watermelon,multwatermelon
hot pepper,229291,hotxpepper,multhotxpepper
doughnut,226850,doughnut,multdoughnut
soft ice cream,225578,softxicexcream,multsoftxicexcream
cookie,221769,cookie,multcookie
open hands sign,220629,openxhandsxsign,multopenxhandsxsign
keycap digit six,219871,keycapxdigitxsix,multkeycapxdigitxsix
lying face,219708,lyingxface,multlyingxface
raised back of hand,219071,raisedxbackxofxhand,multraisedxbackxofxhand
jack o lantern,216337,jackxoxlantern,multjackxoxlantern
fallen leaf,215888,fallenxleaf,multfallenxleaf
left facing fist,214630,leftxfacingxfist,multleftxfacingxfist
dove of peace,212474,dovexofxpeace,multdovexofxpeace
monkey face,210151,monkeyxface,multmonkeyxface
turtle,208723,turtle,multturtle
american football,208465,americanxfootball,multamericanxfootball
person with blond hair,205090,personxwithxblondxhair,multpersonxwithxblondxhair
musical score,204514,musicalxscore,multmusicalxscore
keycap digit nine,203570,keycapxdigitxnine,multkeycapxdigitxnine
writing hand,202773,writingxhand,multwritingxhand
grinning cat face with smiling eyes,202352,grinningxcatxfacexwithxsmilingxeyes,multgrinningxcatxfacexwithxsmilingxeyes
rocket,197616,rocket,multrocket
prince,193229,prince,multprince
keycap digit seven,192872,keycapxdigitxseven,multkeycapxdigitxseven
keycap digit eight,191978,keycapxdigitxeight,multkeycapxdigitxeight
keycap digit four,191663,keycapxdigitxfour,multkeycapxdigitxfour
snowman without snow,188784,snowmanxwithoutxsnow,multsnowmanxwithoutxsnow
cactus,187971,cactus,multcactus
pineapple,184489,pineapple,multpineapple
red apple,183655,redxapple,multredxapple
right facing fist,182967,rightxfacingxfist,multrightxfacingxfist
cloud with tornado,181868,cloudxwithxtornado,multcloudxwithxtornado
swimmer,179139,swimmer,multswimmer
french fries,178666,frenchxfries,multfrenchxfries
mouse face,177708,mousexface,multmousexface
camera with flash,176748,cameraxwithxflash,multcameraxwithxflash
smoking symbol,176099,smokingxsymbol,multsmokingxsymbol
deciduous tree,174866,deciduousxtree,multdeciduousxtree
cyclone,174757,cyclone,multcyclone
fish,173988,fish,multfish
droplet,173906,droplet,multdroplet
haircut,172186,haircut,multhaircut
horse face,172169,horsexface,multhorsexface
umbrella with rain drops,171384,umbrellaxwithxrainxdrops,multumbrellaxwithxrainxdrops
dolphin,170681,dolphin,multdolphin
headphone,170531,headphone,multheadphone
pregnant woman,170015,pregnantxwoman,multpregnantxwoman
no one under eighteen symbol,168796,noxonexunderxeighteenxsymbol,multnoxonexunderxeighteenxsymbol
weight lifter,168721,weightxlifter,multweightxlifter
seedling,168522,seedling,multseedling
ear,167759,ear,multear
baseball,167455,baseball,multbaseball
grapes,165791,grapes,multgrapes
hot dog,164174,hotxdog,multhotxdog
flag for turkey,163416,flagxforxturkey,multflagxforxturkey
cloud,162749,cloud,multcloud
automobile,162224,automobile,multautomobile
nose,161943,nose,multnose
crab,161691,crab,multcrab
cheese wedge,161317,cheesexwedge,multcheesexwedge
poultry leg,160791,poultryxleg,multpoultryxleg
smiling cat face with open mouth,160530,smilingxcatxfacexwithxopenxmouth,multsmilingxcatxfacexwithxopenxmouth
lemon,160380,lemon,multlemon
flag for france,159976,flagxforxfrance,multflagxforxfrance
tropical fish,159828,tropicalxfish,multtropicalxfish
spider,159203,spider,multspider
tangerine,159079,tangerine,multtangerine
honey pot,158238,honeyxpot,multhoneyxpot
cat face with wry smile,157814,catxfacexwithxwryxsmile,multcatxfacexwithxwryxsmile
chicken,157808,chicken,multchicken
kiss man man,157714,kissxmanxman,multkissxmanxman
teddy bear,157409,teddyxbear,multteddyxbear
koala,156002,koala,multkoala
spouting whale,155764,spoutingxwhale,multspoutingxwhale
bicyclist,154725,bicyclist,multbicyclist
large red circle,154447,largexredxcircle,multlargexredxcircle
alien monster,152897,alienxmonster,multalienxmonster
popcorn,152247,popcorn,multpopcorn
rainbow flag,151652,rainbowxflag,multrainbowxflag
linked paperclips,151592,linkedxpaperclips,multlinkedxpaperclips
japanese goblin,151575,japanesexgoblin,multjapanesexgoblin
lock,151490,lock,multlock
couple with heart man man,149375,couplexwithxheartxmanxman,multcouplexwithxheartxmanxman
